Code,GLOSS ID,Country,Location,Connection,DCP ID,Delay,TransmitInterval
syro,,Greece,Syros,ftp,,-7',3'
TA18,,Italy,Taranto,web,,5',5'
tako,335,Ghana,Takoradi,SXXX33,26BF75DC,1899d,5'
tala,,Perú,Talara,SEPO40,35414358,8',5'
talc,,Chile,Talcahuano,SXCH40,ADC0C320,8',5'
talc2,,Chile,Talcahuano,web,,6',5'
talt,,Chile,Taltal,SXCH40,ADC02E00,5',5'
talt2,,Chile,Taltal,web,,5',5'
talt3,,Chile,Taltal,web,,1702d,5'
tang,,Sweden,Tangudden GBG Hamn,web,,53',1h
tanjo,44,Singapore,Tanjong Pagar,SZSR01,00044,2646d,18'
tara,113,Kiribati,"Betio,Tarawa",SZPA01,67590,6',6'
tare,,Solomon Islands,Tarekukure Wharf,SZPS01,56363,6',3'
tari,,Spain,Tarifa,ftp,,7',4'
tarr,,Spain,Tarragona,ftp,,8',4'
tasu,,Turkey,Tasucu,web,,5',2'
taut,,New Zealand,Port of Tauranga,SZNZ01,TAUT,6',3'
taza,,Spain,Puerto de Tazacorte (La Palma),bgan,TAZA,2',1'
tbwc,,Australia,Twofold Bay,SZAU01,60531,6',3'
tcgt,,Turks & Caicos Islands,Grand Turk,SOTI10,C7900E46,9',5'
tcsb,,Turks & Caicos Islands,"Sapodilla Bay, Providenciales",SOTI10,C7900094,9',5'
tdcu,266,UK,Tristan da Cunha,SXXX32,26BED7DE,1284d,15'
tela,,Honduras,Tela Harbor,SOHO10,50C45512,1962d,1h
telc,,Mexico,Telchac,ftp,,23h,10'
telu,,Indonesia,Telukdalam,SXXX33,12E3454E,2111d,15'
tema,,Ghana,Tema,ftp,18CAE282,10d,20'
tene,,Spain,Tenerife2,ftp,,7',4'
ters,,Netherlands,Terschelling Noordzee,web,,-2677',10'
tfbc,156,Canada,Tofino,SXAK50,15C3A33C,5',5'
thes,,Greece,Thessaloniki,web,,31',1'
thev,308,Australia,Thevenard,SZAU01,62000,6',3'
thio,,France,Thio,SZNC44,xxxxxxx,5',6'
thul,343,Denmark,"Thule, Pituffik",ftp,,7',5'
tjls,,Indonesia,Tanjung Lesung,SXXX33,,2952d,15'
tkdi,335,Ghana,Takoradi,ftp,180022AA,10d,20'
tn031,,Spain,"Arona, Tenerife",ftp,,4',5'
tnbl,,Indonesia,Tanahbala,SXXX33,12F6B594,2057d,15'
tnpr,,UK,Teignmouth Pier,web,,3005d,0.1666'
toam2,,Madagascar,Toamasina 2,SZIO03,FR041,28d,15'
tobe,,UK,Tobermory,ftp,,38',15'
toco2,,Chile,Tocopilla,web,,4',5'
toco3,,Chile,Tocopilla,web,,9',5'
tofi,156,Canada,Tofino,ftp,,3232d,6h
tort,,British Virgin Islands,Tortola,SOVI10,B110070A,1426d,10'
tosa,,Japan,Tosashimizu,SWJP40,TOSASHIMIZU,14',10'
toul,,France,Toulon,ftp,,8',5'
toul2,,France,Toulon2,SZFR01,FR0680,12',6'
toya,325,Japan,Toyama,SWJP40,TOYAMA,14',10'
TR22,,Italy,Trieste,web,,5',5'
trab,,Turkey,Trabzon,web,,5',2'
treg,321,Norway,Tregde,web,,13',1h
trin,,Sri Lanka,Trincomalee,SXXX33,322952D4,29',15'
trnz,,Netherlands,Terneuzen,web,,13',10'
trst,,Australia,Torres Strait,SZAU01,58170,6',3'
tubua,356,France,Tubuai (Austral Islands - French Polynesia),SEHI40,FFF0073A,18',15'
tuca,,Turks & Caicos Islands,Grand Turk Island,SOTI10,C2D00462,1237d,5'
tudy,,France,Port-Tudy (Groix island),ftp,,8',5'
tumc,,Colombia,Tumaco,ftp,,9d,5'
tumc2,171,Colombia,Tumaco,SXCO41,15AAC2B4,14',15'
tuxp,,Mexico,Tuxpan,ftp,,23',10'
tuxp2,,Mexico,Tuxpan,SOMX10,010136C2,51',1h
UAPO,,Polynésie Française,"Ua Pou (French Polynesia, Marquesas)",SEHI40,B1F011F6,15',15'
udde,,Sweden,Uddevalla,web,,53',1h
ugle,,Russia,Uglegorsk,web,,2135d,10'
ulla,,UK,Ullapool,ftp,,38',15'
upol,,Samoa,Apia Upolu,SZPS01,66840,6',3'
ushu,181,Argentina,Ushuaia,SEPO40,334CE50A,19',15'
util,,Honduras,Utila Island,SOHO10,50CF56BA,2152d,1h
vair,,France,Vairao (Tahiti Island - French Polynesia),SEHI40,FAA022BE,15',15'
vale,,Spain,Valencia,ftp,,7',4'
valp,175,Chile,Valparaiso,SXCH40,ADC01548,9',5'
valp2,175,Chile,Valparaiso,web,,3',5'
valp3,,Chile,Valparaiso,web,,999d,2'
vanu,348,Vanuatu,Port Vila,SZPS01,57320,6',3'
varb,,Sweden,Varberg2,web,,53',1h
vard,323,Norway,Vardø,web,,23',1h
vati,,Fiji Islands,"Vatia, Viti Levu",SZFJ40,91000,98d,6'
VE19,,Italy,Venice,web,,5',5'
vela,,Croatia,Vela Luka,web,,319d,10'
ver1,188,Antarctica,Vernadsky - Faraday,SEMS40,,783d,15'
vera,212,Mexico,"Veracruz, Ver.",ftp,,21',10'
vera2,212,Mexico,"Veracruz, Ver.",SOMX10,0102A4AE,17',15'
verav,31,India,Veeraval,ftp,42910,18',10'
vern,188,Antarctica,Vernadsky - Faraday,SEMS40,3354E632,14',15'
vhbc,,Canada,Vancouver Harbor,SXAK50,CD400D3A,5',5'
VI12,,Italy,Vieste,web,,5',5'
vibc,,Canada,Victoria Harbor,SXAK50,CD405D46,6',5'
vieq,,USA,Vieques,web,335CC478,12',6'
vieq2,,USA,Vieques,SXXX03,335CC478,12',6'
vig2,,Spain,Vigo,ftp,,7',4'
vikew,,Sweden,Viken,web,,53',1h
vil2,,Spain,Villagarcia,ftp,,7',4'
vin2,,Sweden,Vinga2,web,,53',1h
visb,,Sweden,Visby,web,,53',1h
vish,35,India,Visakhapatnam,ftp,43151,12',10'
viti,122,Fiji Islands,Suva Viti Levu,SZPS01,67050,6',3'
vlad,,Russia,Vladivostok,web,,23',10'
vlis,,Netherlands,Vlissingen,web,,-2617',10'
vlrn,,Netherlands,Vlakte v/d Raan,web,,-2587',10'
vodo,,Russia,Vodopadnaya,web,,24',10'
vung,,Viet Nam,Vung Tau,SZVS41,06506ABA,9',6'
vvik,,Sweden,Vastervik,web,,53',1h
waik,346,Indonesia,Waikelo,SXXX33,32A89288,899d,15'
wait,128,New Zealand,"Waitangi,Chatham",SEPS40,9321E2EC,2263d,1h
waka,324,Japan,Wakkanai,SWJP40,WAKKANAI,14',10'
wake,105,USA,Wake,web,,10',6'
wake2,105,USA,Wake,SXXX03,336AC2C6,10',6'
wall,,France,Mata-Utu (Wallis island),SZFW41,0652170C,7',6'
walvi,314,Namibia,Walvis Bay,SXXX33,362856A6,2211d,15'
warn,,Germany,Warnemünde,web,,9',5'
wbhb,,UK,West Bay Harbour,web,,1',0.1666'
weym,,UK,Weymouth,ftp,,38',15'
whbc,,Canada,Winter Harbour,SXAK50,15C385D0,3',5'
whit,,UK,Whitby,ftp,,38',15'
wick,,UK,Wick Harbour,ftp,,38',15'
will,,Curaçao,Willemstad,SEPO40,3541C54C,3115d,5'
wint,,Canada,Winter Harbour,ftp,,3232d,6h
wlgt,101,New Zealand,Wellington,SZNZ01,WLGT,6',3'
wlms,,USA,"Bay Waveland Yacht Club, MS",web,33456542,9',5'
wlms2,,USA,"Bay Waveland Yacht Club, MS",SXXX03,33456542,35d,5'
wood,,USA,"Woods Hole, MA",web,3340A79C,2',5'
wood2,,USA,"Woods Hole, MA",SXXX03,3340A79C,16',5'
work,,UK,Workington,ftp,,38',15'
wpwa,,USA,"Westport, WA",web,33632768,6',6'
wpwa2,,USA,"Westport, WA",SXXX03,33632768,2421d,6'
wuda,,Oman,Khawr Wudam,SXOM33,18539268,13',6'
xish,,China,Xisha,SZCI01,11745,1840d,5'
xmas,146,Kiribati,Christmas,SEPA40,3542F7D8,8',15'
yabu,,USA,"Yabucoa Harbor, PR",SXXX03,3366B5CA,126d,6'
yaku,,USA,Yakutat,web,336B0522,10',6'
yaku2,,USA,Yakutat,SXXX03,336B0522,10',6'
yalo,,Turkey,Yalova,web,,6',2'
yapi,119,Micronesia,Yap Island,SWPA41,065012F8,7',6'
ysta,,Sweden,Ystad2,web,,53',1h
yuzh,90,Russia,Yuzhno-Kuril'sk,web,,3168d,10'
zanz,297,Tanzania,Zanzibar,SXXX33,1605D3E0,10',15'
zhap,78,China,Zhapo,SZCI01,09731,16',1'
zihu,,Mexico,"Zihuatanejo, Gro",ftp,,17',15'
zihu2,,Mexico,Zihuatanejo2,SOMX10,0102D23E,12',10'
zygi,,Cyprus,Zygi,ftp,,2504d,1'
zygi1,,Cyprus,Zygi,bgan,ZYGI1,40d,1'
