,EP_PLATFORM_ID,EP_PLATFORM_TYPE,EP_PLATFORM_CODE,EP_PLATFORM_LINK,TIME_QC (1),latitude (degrees_north),longitude (degrees_east),SLEV_QC (1),SLEV_DM,site_code,platform_code,platform_name,pi_name,area,author,source,contributor_name,contributor_url,data_assembly_center,institution_edmo_code,institution_references,institution,wmo_platform_code
20003078,8459,TG,BoulogneSurMerTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=8459,1,50.7275,1.5774,1,\u0000,,BoulogneSurMerTG,Boulogne-Sur-Mer,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
24275405,8459,TG,BoulogneSurMerTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=8459,1,50.7275,1.5774,0,\u0000,,BoulogneSurMerTG,Boulogne-Sur-Mer,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
24616952,8459,TG,BoulogneSurMerTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=8459,1,50.7275,1.5774,3,\u0000,,BoulogneSurMerTG,Boulogne-Sur-Mer,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
25064503,8459,TG,BoulogneSurMerTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=8459,1,50.7275,1.5774,4,\u0000,,BoulogneSurMerTG,Boulogne-Sur-Mer,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
25725234,8467,TG,BrestTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=8467,1,48.3829,-4.4951,1,\u0000,,BrestTG,Brest,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
25739595,8467,TG,BrestTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=8467,1,48.3829,-4.4951,0,\u0000,,BrestTG,Brest,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
30728069,8467,TG,BrestTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=8467,1,48.3829,-4.4951,4,\u0000,,BrestTG,Brest,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
31133850,8467,TG,BrestTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=8467,1,48.3829,-4.4951,3,\u0000,,BrestTG,Brest,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
31970981,8480,TG,CalaisTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=8480,1,50.9695,1.8677,1,\u0000,,CalaisTG,Calais,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
35977222,8480,TG,CalaisTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=8480,1,50.9695,1.8677,0,\u0000,,CalaisTG,Calais,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
36345337,8480,TG,CalaisTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=8480,1,50.9695,1.8677,4,\u0000,,CalaisTG,Calais,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
36503459,8480,TG,CalaisTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=8480,1,50.9695,1.8677,3,\u0000,,CalaisTG,Calais,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
37626096,8484,TG,CenturiTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=8484,1,42.96578,9.34983,1,\u0000,,CenturiTG,Centuri,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
40929874,8484,TG,CenturiTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=8484,1,42.96578,9.34983,0,\u0000,,CenturiTG,Centuri,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
41000401,8484,TG,CenturiTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=8484,1,42.96578,9.34983,4,\u0000,,CenturiTG,Centuri,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
41057627,8484,TG,CenturiTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=8484,1,42.96578,9.34983,3,\u0000,,CenturiTG,Centuri,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
41773481,8488,TG,CherbourgTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=8488,1,49.6513,-1.6355,1,\u0000,,CherbourgTG,Cherbourg,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
46082152,8488,TG,CherbourgTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=8488,1,49.6513,-1.6355,0,\u0000,,CherbourgTG,Cherbourg,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
47069985,8488,TG,CherbourgTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=8488,1,49.6513,-1.6355,3,\u0000,,CherbourgTG,Cherbourg,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
47451568,8488,TG,CherbourgTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=8488,1,49.6513,-1.6355,4,\u0000,,CherbourgTG,Cherbourg,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
47903438,8494,TG,ConcarneauTG,http://www.emodnet-physics.eu/Map/spi.aspx?id=8494,1,47.8738,-3.9076,1,\u0000,,ConcarneauTG,Concarneau,,Global Ocean,,land/onshore structure,,,Ifremer,540,,SHOM Service Hydrographique et Oceanographique de la Marine,
