GLOSS number,Station,Country,Responsible country,Latitude (+ve N),Longitude (+ve E)
290,"Newport, RI",U.S.A.,U.S.A.,41.5,-71.33333
74,Nome,U.S.A.,U.S.A.,64.5,-165.41666
124,Norfolk Is.,Australia,Australia,-29.06666,167.95
15,Nosy-Be,Madagascar,Madagascar,-13.4,48.28333
123,"Noumea, New Caledonia",France,France/U.S.A.,-22.3,166.43333
142,"Nuku Hiva, Marquesas Is.",France,France/U.S.A.,-8.93333,-140.08333
345,Ny Alesund,Norway,,78.93333,11.95
87,Ofunato,Japan,Japan,39.01666,141.75
45,Padang (Telu Bayuk),Indonesia,Indonesia,-1.0,100.36666
144,"Pago Pago, American Samoa",U.S.A.,U.S.A.,-14.28333,-170.68333
329,Palmeira,Cape Verde Islands,Portugal,16.755,-22.98333
140,"Papeete, Tahiti",French Polynesia,France/U.S.A.,-17.53333,-149.56666
137,Pascua (Easter) Is.,Chile,Chile,-27.15,-109.45
11,Pemba,Mozambique,Mozambique,-12.96666,40.48333
43,Pengkalan TLDM Lumut,Malaysia,Malaysia,4.23333,100.61666
143,Penrhyn,Cook Islands,U.S.A.,-8.59,-158.06666
288,"Pensacola, FL",U.S.A.,U.S.A.,30.4,-87.21666
93,Petropavlovsk-Kamchatsky,Russia,Russia,52.98333,158.65
343,Pituffik/Thule,Greenland,,76.55,-68.86666
115,"Pohnpei, Caroline Is.",Fed. Micronesia,U.S.A.,6.59,158.15
17,"Pte des Galets, Reunion Is",France,France,-20.93333,55.3
339,Pointe La Rue,Seychelles,Seychelles,-4.67166,55.52666
261,Pointe-Noire,Congo,Congo,-4.78333,11.83333
200,Ponta da Madeira,Brazil,Brazil,-2.56666,-44.36666
245,"Ponta Delgado, Azores",Portugal,Portugal,37.4416,-25.4027
38,"Port Blair, Andaman Is.",India,India,11.68333,92.76666
76,Port Elizabeth,South Africa,South Africa,-33.57,25.37
51,Port Hedland,Australia,Australia,-20.31666,118.56666
18,Port Louis Harbour,Mauritius,Mauritius,-20.15,57.5
203,Port of Spain,Trinidad and Tobago,Trinidad and Tobago,10.65,-61.51666
210,"Port Royal, Kingston",Jamaica,Jamaica,17.93333,-76.85
350,Port Sonara,Cameroon,Cameroon,4.005,9.125
98,"Port Tuapse, Black Sea",Russia,Russia,44.1,39.06666
209,Port-au-Prince/Les Cayes,Haiti,Haiti,18.56666,-72.35
55,Portland,Australia,Australia,-38.34333,141.61333
351,Porto De Imbituba,Brazil,Brazil,-28.23,-48.65
352,Porto De Macae,Brazil,Brazil,-22.385,-41.77
193,Porto de Rio Grande,Brazil,Brazil,-32.1,-52.18333
155,Prince Rupert,Canada,Canada,54.31666,-130.33333
213,"Progreso, Yuc.",Mexico,Mexico,21.3,-89.65
309,Providenya,Russia,Russia,64.5,-173.18333
151,"Prudhoe Bay, AK",U.S.A.,U.S.A.,70.4,-148.52666
164,Puerto Angel,Mexico,Mexico,15.65,-96.5
190,Puerto Deseado,Argentina,Argentina,-47.75,-65.91666
191,Puerto Madryn,Argentina,Argentina,-42.76666,-65.03333
178,Puerto Montt,Chile,Chile,-41.29,-72.58
84,Pusan,"Korea, Republic of","Korea, Republic of",35.1,129.03333
344,Qaqortoq,Greenland,,60.71666,-46.03333
77,Quarry Bay,Hong Kong,"Hong Kong, China",22.28333,114.21666
167,Quepos,Costa Rica,Costa Rica,9.4,-84.16666
75,Qui Nhon,Viet Nam,Viet Nam,13.76666,109.21666
65,Rabaul,Papua New Guinea,U.S.A.,-4.2,152.18333
139,Rarotonga,Cook Islands,Australia,-21.2,-159.76666
229,Reykjavik,Iceland,Iceland,64.15,-21.93333
138,"Rikitea, Gambier",French Polynesia,France/U.S.A.,-23.13333,-134.95
195,Rio de Janeiro - I.Fiscal,Brazil,Brazil,-22.9,-43.16666
19,"Rodrigues, Port Mathurin",Mauritius,Mauritius,-19.68333,63.41666
234,Rorvik,Norway,Norway,64.86666,11.25
342,Rothera,UK,,-67.57166,-68.12833
99,Russkaya Gavan,Russia,Russia,76.23333,62.58333
347,Sabang,Indonesia,,5.83333,95.33333
264,St. Helena,U.K.,U.K.,-15.96666,-5.7
223,"St John's, Newfoundland",Canada,Canada,47.56666,-52.71666
24,Saint Paul Island,France,France,-38.71166,77.53833
199,St Peter & St Paul Rocks,Brazil,Brazil,0.91666,-29.35
118,Saipan,North Mariana Is.,U.S.A.,15.23333,145.73333
4,Salalah,Oman,Oman,17.0,54.0
334,Salvador,Brazil,,-12.96666,-38.51666
177,San Felix,Chile,Chile,-26.17,-80.07
158,"San Francisco, CA",U.S.A.,U.S.A.,37.8,-122.46666
206,"San Juan, Puerto Rico",U.S.A.,U.S.A.,18.46666,-66.11666
100,"Sand Point, AK",U.S.A.,U.S.A.,55.33333,-160.5
244,Santa Cruz del Flores (Azores),Portugal,Portugal,39.2728,-31.0745
260,Sao Tome,Sao Tome & Principe,France,0.34833,6.73666
134,Scott Base,New Zealand,New Zealand,-77.51,166.46
211,Settlement Point,Bahamas,U.S.A.,26.71666,-78.98333
150,"Seward, AK",U.S.A.,U.S.A.,60.11666,-149.43333
215,Siboney,Cuba,Cuba,23.1,-82.46666
268,Simonstown,South Africa,South Africa,-34.18333,18.43333
154,"Sitka, AK",U.S.A.,U.S.A.,57.05,-135.33333
