SSC ID,Station Name,Country_x,Latitude,Longitude,IOC code,PTWC code,GLOSS ID_x,UHSLC ID,PSMSL ID,SONEL GPS,SONEL TG,Code,GLOSS ID_y,Country_y,Location
SSC-diba,Diba,Oman,25.65,56.27,diba,diba,,,,,,diba,,Oman,Diba
SSC-diel,Dielette,France,49.55,-1.86,"diel, diel2",,,,,,,diel,,France,Dielette
SSC-diep,Dieppe,France,49.93,1.09,"diep, diep2",diep,,,474,"3184, 3188, 3534",1904,diep,,France,Dieppe
SSC-djib,Djibouti,Djibouti,11.6,43.17,djib,bout,2.0,119,"1291, 2225",,1995,djib,2,Djibouti,Djibouti
SSC-dlpr,Deal Pier,United Kingdom,51.22,1.41,dlpr,,,,,,,dlpr,,UK,Deal Pier
SSC-dnrc,Dover,United States,39.16,-75.52,,,,,,916,,dove,,UK,Dover
SSC-dove,Dover,United Kingdom,51.11,1.32,dove,,,,255,2013,2385,dove,,UK,Dover
SSC-dpnc,Duck Pier,United States,36.18,-75.75,"dpnc, dpnc2",dpnc,219.0,260,1636,"1884, 1885, 668",2154,dpnc,219,USA,Duck Pier
SSC-dumo,Dumont d'Urville,Antarctica,-66.65,140.0,dumo,,131.0,189,2231,895,1756,dumo,131,Antarctica,Dumont d'Urville
SSC-dunk,Dunkerque,France,51.05,2.37,"dunk, dunk2",dunk,,,468,"3185, 3186, 3415",1758,dunk,,France,Dunkerque
SSC-duqm,Duqm,Oman,19.66,57.72,duqm,duqm,,,,,,duqm,,Oman,Duqm
SSC-durb,Durban,South Africa,-29.88,31.03,durb,durb,13.0,181,284,"3506, 3527",2798,durb,13,South-Africa,Durban
SSC-elak,Elfin Cove,United States,58.19,-136.34,"elak, elak2",elak,,,,,,elak,,USA,Elfin Cove
SSC-elak,Elfin Cove,United States,58.19,-136.34,"elak, elak2",elak,,,,,,elak2,,USA,Elfin Cove
SSC-elat,Elat,Israel,29.5,34.92,elat,,,,"1022, 2148, 2149",,,elat,,Israel,Elat
SSC-elpo,El Porvenir,Panama,9.56,-78.95,elpo,elpo,,739,,,,elpo,,Panamá,El Porvenir
SSC-engg,Enggano,Indonesia,-5.35,102.28,engg,engg,,,,2939,2938,engg,,Indonesia,Enggano
SSC-ense,Ensenada,Mexico,31.85,-116.63,ense,ense,,317,795,"2292, 2294",2293,ense,,Mexico,Ensenada
SSC-epme,East Port,United States,44.9,-66.99,"epme, epme2",epme,,740,332,670,2354,epme,,USA,East Port
SSC-epme,East Port,United States,44.9,-66.99,"epme, epme2",epme,,740,332,670,2354,epme2,,USA,East Port
SSC-erdek,Erdek,Turkey,40.38,27.85,erdek,,,,1598,2023,2151,erdek,,Turkey,Erdek
SSC-erdem,Erdemli,Turkey,36.57,34.25,erdem,,,,2009,2652,2651,erdem,,Turkey,Erdemli
SSC-espe,Esperance,Australia,-33.87,121.9,espe,espe,54.0,176,"1114, 1127",2059,2109,espe,54,Australia,Esperance
SSC-estr,Puerto Estrella,Colombia,12.36,-71.31,estr,estr,,,,,,estr,,Colombia,Puerto Estrella
SSC-euro,Europlatform,Netherlands,52.0,3.27,euro,,,,,,,euro,,Netherlands,Europlatform
SSC-exmt,Exmouth Marina,United Kingdom,50.62,-3.42,exmt,,,,,,,exmt,,UK,Exmouth Marina
SSC-faja,Fajardo,Puerto Rico,18.33,-65.63,faja,faja,,783,2211,,,faja,,Puerto Rico,Fajardo
SSC-falk,Falkenberg,Sweden,56.89,12.49,falk,,,,,,,falk,,Sweden,Falkenberg
SSC-ferg,Cape Ferguson,Australia,-19.28,147.06,ferg,ferg,60.0,"334, 343","1492, 584, 637, 963",858,"2321, 2585",ferg,60,Australia,Cape Ferguson
SSC-feth,Fethiye,Turkey,36.62,29.09,feth,feth,,,,,,feth,,Turkey,Fethiye
SSC-figu,La Figueirette,France,43.48,6.93,"figu, figu2",figu,,,2232,"3194, 3541",3165,figu,,France,La Figueirette
SSC-fish,Fishguard,United Kingdom,52.01,-4.98,fish,,,,"1731, 939",,,fish,,UK,Fishguard
SSC-fmfl,Fort Myers,United States,26.65,-81.87,"fmfl, fmfl2",fmfl,,,1106,3521,3520,fmfl,,USA,Fort Myers
SSC-fmfl,Fort Myers,United States,26.65,-81.87,"fmfl, fmfl2",fmfl,,,1106,3521,3520,fmfl2,,USA,Fort Myers
SSC-fong,Fongafale,Tuvalu,-8.5,179.2,fong,fong,121.0,25,"1452, 1839",865,2167,fong,121,Tuvalu Islands,Fongafale
SSC-form,Formentera,Spain,38.73,1.42,form,form,,,2060,,,form,,Spain,Formentera
SSC-fors,Forsmark,Sweden,60.41,18.21,fors,,,,2103,,,fors,,Sweden,Forsmark
SSC-fort,Fortaleza,Brazil,-3.72,-38.47,fort,fort,336.0,283,559,"1921, 3455, 673",2300,fort,336,Brasil,Fortaleza
SSC-fosm,Fos-sur-Mer,France,43.4,4.89,"fosm, fosm2",,,,"2234, 969",3540,3163,fosm,,France,Fos-sur-Mer
SSC-fpga,Fort Pulaski,United States,32.03,-80.9,"fpga, fpga2",fpga,289.0,752,395,2721,2720,fpga,289,USA,Fort Pulaski
SSC-fpga,Fort Pulaski,United States,32.03,-80.9,"fpga, fpga2",fpga,289.0,752,395,2721,2720,fpga2,289,USA,Fort Pulaski
SSC-frtr,Frontera,Mexico,18.15,-94.27,frtr,frtr,,,,,,frtr,,Mexico,Frontera
SSC-fuev,Fuerteventura,Spain,28.49,-13.86,"fue2, fuer2",,,,2048,3135,3134,fue2,,Spain,Fuerteventura
SSC-fuka,Fukaura,Japan,40.65,139.93,fuka,fuka,,,"121, 1317",,,fuka,,Japan,Fukaura
SSC-furu,Furuogrund,Sweden,64.92,21.23,furu,,,,203,844,2320,furu,,Sweden,Furuogrund
SSC-gand,Gandia,Spain,39.0,-0.15,gand,,,,2058,,,gand,,Spain,Gandia
SSC-ganm,Gan,Maldives,-0.69,73.15,ganm,ganm,27.0,109,"1025, 1481, 1661, 1707",3412,2801,ganm,27,Maldive Islands,Gan
SSC-garc,Diego Garcia,United Kingdom,-7.23,72.43,garc,garc,26.0,104,"1740, 1982, 2190, 947","2553, 664","2181, 3587",garc,26,UK,Diego Garcia
SSC-gata,Gaeta,Italy,41.21,13.59,GA37,,,,2137,,,GA37,,Italy,Gaeta
SSC-gazi,Gazimagusa,Cyprus,35.12,33.95,gazi,,,,,,,gazi,,Cyprus,Gazimagusa
SSC-genv,Genova,Italy,44.41,8.93,GE25,genv,,,"2090, 59",678,2250,GE25,,Italy,Genova
SSC-geor,George Town,Cayman Islands,19.3,-81.38,"cagt, geor","cagt, geor",,,"1422, 1426","1880, 3523","2140, 2731",geor,,Cayman Islands,George Town
SSC-gera,Geraldton,Australia,-28.78,114.6,gpab,,,,"1031, 1043",,,gpab,,Australia,Geraldton
SSC-gibr,Gibraltar,United Kingdom,36.13,-5.35,"gibr, gibr2, gibr3",gibr,248.0,289,"2055, 2117, 490, 981","2232, 3373","2231, 3462, 3463",gibr2,248,UK,Gibraltar
SSC-gibr,Gibraltar,United Kingdom,36.13,-5.35,"gibr, gibr2, gibr3",gibr,248.0,289,"2055, 2117, 490, 981","2232, 3373","2231, 3462, 3463",gibr3,248,UK,Gibraltar
SSC-gijo,Gijon,Spain,43.56,-5.7,gij2,,,,"1871, 507",,,gij2,,Spain,Gijon
SSC-girn,Girne,Cyprus,35.35,33.33,girn,,,,"1911, 2022",,,girn,,Cyprus,Girne
SSC-gist,Gisborne,New Zealand,-38.68,178.02,gist,gist,,78,1613,,,gist,,New Zealand,Gisborne
SSC-goag,Goteborg Agnesberg,Sweden,57.79,12.01,goag,,,,,,,goag,,Sweden,Goteborg Agnesberg
SSC-goer,Goteborg Eriksberg,Sweden,57.7,11.91,goer,,,,,,,goer,,Sweden,Goteborg Eriksberg
SSC-gokc,Gokceada,Turkey,40.23,25.89,gokc,,,,2015,,,gokc,,Turkey,Gokceada
SSC-gokr,Goteborg Krossholmen,Sweden,57.69,11.77,gokr,,,,,,,gokr,,Sweden,Goteborg Krossholmen
SSC-goto,Goteborg Torshamnen,Sweden,57.68,11.79,goto,,233.0,819,"1236, 74",2079,"2328, 2738",goto,233,Sweden,Goteborg Torshamnen
SSC-goug,Gough Island,South Africa,-40.32,-9.95,goug,goug,,,,684,,goug,,UK,Gough Island
SSC-gptx,Galveston Pier,United States,29.31,-94.79,"gptx, gptx2","gptx, pptx",217.0,"767, 775","161, 828","1934, 2973, 676","2355, 2356",gptx,217,USA,Galveston Pier
SSC-groo,Groote Eylandt,Australia,-13.86,136.42,groo,groo,,145,"1160, 1177",,,groo,,Australia,Groote Eylandt
SSC-gvds,Gavdos,Greece,34.85,24.12,gvd9,gvd9,,,,"2024, 2277, 2278",2276,gvd9,,Greece,Gavdos
SSC-gwda,Gwadar,Pakistan,25.11,62.34,gwda,gwda,295.0,,1999,,2894,gwda,295,Pakistan,Gwadar
SSC-hade,Hadera,Israel,32.47,34.86,"hade, hade2",,80.0,,1797,2022,2163,hade,80,Israel,Hadera
SSC-haif,Haifa,Israel,32.82,35.0,haif,haif,,,"2221, 798",2619,2618,haif,,Israel,Haifa
SSC-hain,Haing Gyi Kyun,Myanmar,16.0,94.32,hain,,,,,,,hain,,Myanmar,Haing Gyi Kyun
SSC-hako,Hakodate,Japan,41.78,140.72,hako,hako,88.0,364,"671, 813",799,"2312, 2755",hako,88,Japan,Hakodate
SSC-hali,Halifax,Canada,44.67,-63.58,hali,,222.0,275,96,692,2245,hali,222,Canada,Halifax
SSC-halm,Halmstad,Sweden,56.65,12.84,halm,,,,,,,halm,,Sweden,Halmstad
SSC-hamb,Hambantota,Sri Lanka,6.12,81.13,hamb,,,,,,,hamb,,Sri Lanka,Hambantota
SSC-hana,Hanasaki,Japan,43.28,145.57,hana,hana,,,"139, 1442",,,hana,,Japan,Hanasaki
SSC-hani,Hanimadhoo,Maldives,6.77,73.17,hani,hani,,117,"1779, 2184",,,hani,,Maldive Islands,Hanimadhoo
SSC-harl,Harlingen,Netherlands,53.18,5.41,harl,,,,25,,,harl,,Netherlands,Harlingen
SSC-harw,Harwich,United Kingdom,51.95,1.29,harw,,,,"214, 742",,,harw,,UK,Harwich
SSC-hasp,Hastings Pier,United Kingdom,50.85,0.57,hasp,,,,,,,hasp,,UK,Hastings Pier
SSC-hbay,Herne Bay,United Kingdom,51.38,1.12,hbay,,,,,,,hbay,,UK,Herne Bay
SSC-hebo,Helsingborg,Sweden,56.04,12.69,hels,,,,,,,hels,,Sweden,Helsingborg
SSC-helg,Helgoland Binnenhafen,Germany,54.18,7.89,helg,,,,"660, 713","3545, 691",2260,helg,,Germany,Helgoland Binnenhafen
SSC-hens,Henslung Cove,Canada,54.18,-133.1,"hens, lpbc",lpbc,,,2229,,,hens,,Canada,Henslung Cove
SSC-herb,L'Herbaudière,France,47.03,-2.3,"herb, herb2",herb,,,,,3478,herb,,France,L'Herbaudière
SSC-heys,Heysham,United Kingdom,54.03,-2.92,heys,,,,936,,,heys,,UK,Heysham
SSC-hieo,ElHierro,Spain,27.78,-17.9,hie2,,,,2051,3143,3142,hie2,,Spain,ElHierro
SSC-hink,Hinkley Point,United Kingdom,51.21,-3.13,hink,,,,1758,,,hink,,UK,Hinkley Point
SSC-hirt,Hirtshals,Denmark,57.6,9.97,hirt,,,,89,2064,2233,hirt,,Denmark,Hirtshals
SSC-hmda,Hamada,Japan,34.9,132.07,hmda,hmda,326.0,348,"143, 1585, 94",804,"2150, 2740",hmda,326,Japan,Hamada
SSC-holm,Holmsund,Sweden,63.7,20.35,holm,,,,,,,holm,,Sweden,Holmsund
SSC-honn,Honningsvåg,Norway,70.98,25.98,honn,,,801,1267,2091,2453,honn,,Norway,Honningsvåg
SSC-horn,Hörnum,Germany,54.76,8.3,horn,,,,,"2001, 2002, 3552",2261,horn,,Germany,Hörnum
SSC-huas,Huasco,Chile,-28.46,-71.22,"huas2, huas3",huas,,,,,,huas2,,Chile,Huasco
SSC-huas,Huasco,Chile,-28.46,-71.22,"huas2, huas3",huas,,,,,,huas3,,Chile,Huasco
SSC-huat,Huatulco,Mexico,15.75,-96.12,"huat, huat2",huat,,,,,,huat,,Mexico,Huatulco
SSC-huat,Huatulco,Mexico,15.75,-96.12,"huat, huat2",huat,,,,,,huat2,,Mexico,Huatulco
SSC-huel,Huelva5,Spain,37.13,-6.83,huel,,,,1883,"1923, 3458",2173,huel,,Spain,Huelva5
SSC-iaix,Ile d'Aix,France,46.01,-1.17,iaix,,,,2236,3005,3004,iaix,,France,Ile d'Aix
SSC-ibiz,Ibiza2,Spain,38.92,1.45,ibiz,,,,1932,942,2191,ibiz,,Spain,Ibiza2
SSC-iclr,Isla Clarion,Mexico,18.53,-114.72,iclr,,,,,,,iclr,,Mexico,Isla Clarion
SSC-iera,Ierapetra,Greece,35.0,25.74,iera,,,,,,,iera,,Greece,Ierapetra
SSC-igne,Igneada,Turkey,41.88,28.02,igne,,,,1926,,,igne,,Turkey,Igneada
SSC-ilfa,Ilfracombe,United Kingdom,51.21,-4.11,ilfa,,,,1214,,,ilfa,,UK,Ilfracombe
SSC-imbi,Imbituba,Brazil,-28.23,-48.65,"imbi, imbt","imbi, imbt",351.0,718,"1916, 542",2043,2349,imbi,,Brasil,Imbituba
SSC-immi,Immingham,United Kingdom,53.63,-0.19,immi,,,,286,,,immi,,UK,Immingham
SSC-impr,Imperia,Italy,43.88,8.02,"IM01, im02, im02a",im02,,,"108, 2078",,,IM01,,Italy,Imperia
SSC-impr,Imperia,Italy,43.88,8.02,"IM01, im02, im02a",im02,,,"108, 2078",,,im02a,,Italy,Imperia
SSC-inav,Isla Naval,Colombia,10.18,-75.75,"inav, inav2",,,,,,,inav,,Colombia,Isla Naval
SSC-inav,Isla Naval,Colombia,10.18,-75.75,"inav, inav2",,,,,,,inav2,,Colombia,Isla Naval
SSC-inha,Inhambane,Mozambique,-23.92,35.5,inha,inha,10.0,900,"1997, 2226",2958,2795,inha,10,Moçambique,Inhambane
SSC-iqui,Iquique,Chile,-20.2,-70.15,"iqui, iqui2",iqui,,,1963,,,iqui,,Chile,Iquique
SSC-iqui,Iquique,Chile,-20.2,-70.15,"iqui, iqui2",iqui,,,1963,,,iqui2,,Chile,Iquique
SSC-isab,Isabel Segunda,Puerto Rico,18.15,-65.44,isab,,,"732, 733","2209, 2210",,,isab,,Puerto Rico,Isabel Segunda
SSC-ishig,Ishigakijima,Japan,24.33,124.15,ishig,ishi,,365,"1411, 1671",3063,"3061, 3062",ishig,,Japan,Ishigakijima
SSC-iske,Iskenderun,Turkey,36.62,36.12,iske,,,,"2020, 697",,,iske,,Turkey,Iskenderun
SSC-ista,Istanbul,Turkey,41.16,29.07,ista,,,,,,,ista,,Turkey,Istanbul
SSC-itea,Itea,Greece,38.43,22.42,itea,,,,,,,itea,,Greece,Itea
SSC-itit,Isole Tremiti,Italy,42.12,15.5,IT45,,,,2248,,,IT45,,Italy,Isole Tremiti
SSC-jack,Jackson Bay,New Zealand,-43.97,168.62,jack,"jack, jbay",,403,1882,,,jack,,New Zealand,Jackson Bay
SSC-jask,Jask,Iran,25.63,57.77,"jask, jask2",jask,,126,1899,2565,2564,jask,,Iran,Jask
SSC-jers,Jersey,United Kingdom,49.18,-2.12,jers,,,,"1795, 494, 694",,,jers,,UK,Jersey
SSC-jrmi,Jeremie,Haiti,18.64,-74.11,jrmi,jrmi,,,,,,jrmi,,Haïti,Jeremie
SSC-juan,Juan Fernandez,Chile,-33.62,-78.83,"juan, juan2",juan,176.0,21,"1461, 1644, 1664, 904",,2856,juan,176,Chile,Juan Fernandez
SSC-juan,Juan Fernandez,Chile,-33.62,-78.83,"juan, juan2",juan,176.0,21,"1461, 1644, 1664, 904",,2856,juan2,176,Chile,Juan Fernandez
SSC-jute,Juten,Sweden,58.63,16.32,jute,,,,,,,jute,,Sweden,Juten
SSC-kaci,Kaciveli,Ukraine,44.42,34.05,kaci,,,,,,,kaci,,Ukraina,Kaciveli
SSC-kait,Kaikoura,New Zealand,-42.41,173.7,kait,kait,,,,,,kait,,New Zealand,Kaikoura
SSC-kaka,Kalix Karlsborg,Sweden,65.79,23.3,kaka,,,,,,,kaka,,Sweden,Kalix Karlsborg
SSC-kala,Kalamata,Greece,37.02,22.11,kala,,,,411,,,kala,,Greece,Kalamata
SSC-kalm,Kalmar,Sweden,56.66,16.38,kalm,,,,,,,kalm,,Sweden,Kalmar
SSC-kalt,Kalathos,Greece,36.11,28.07,kalt,,,,,,,kalt,,Greece,Kalathos
SSC-kant,Kanton,Kiribati,-2.8,-171.72,kant,kant,145.0,13,"1329, 575",,2847,kant,145,Kiribati,Kanton
SSC-kapi,Kapingamarangi,Micronesia,1.08,154.81,kapi,kapi,117.0,29,1473,,2841,kapi,117,Micronesia,Kapingamarangi
SSC-kaps,Kapsali,Greece,36.14,23.0,kaps,,,,,,,kaps,,Greece,Kapsali
SSC-kara,Karachi,Pakistan,24.81,66.98,kara,kara,30.0,147,204,,2802,kara,30,Pakistan,Karachi
SSC-karl,Karlshamn,Sweden,56.15,14.82,karl,,,,,,,karl,,Sweden,Karlshamn
SSC-kast,Kasteli,Greece,35.51,23.64,kast,kast,,,,,,kast,,Greece,Kasteli
SSC-kata,Katakolo,Greece,37.64,21.32,kata,,,,1240,,,kata,,Greece,Katakolo
SSC-kepo,King Edward Point,United Kingdom,-54.28,-36.5,"kepo, kepo1",kepo,187.0,,896,3411,2861,kepo,187,UK,King Edward Point
SSC-kepo,King Edward Point,United Kingdom,-54.28,-36.5,"kepo, kepo1",kepo,187.0,,896,3411,2861,kepo1,187,UK,King Edward Point
SSC-kerg,Kerguelen Island,France,-49.35,70.22,"kerg, kerg2",kerg,23.0,180,1849,"3211, 3386, 710",1780,kerg,23,France,Kerguelen Island
SSC-kerg,Kerguelen Island,France,-49.35,70.22,"kerg, kerg2",kerg,23.0,180,1849,"3211, 3386, 710",1780,kerg2,23,France,Kerguelen Island
SSC-keti,Keti Bandar,Pakistan,24.13,67.43,keba,,,,,,,keba,,Pakistan,Keti Bandar
SSC-khol,Kholmsk,Russia,47.05,142.04,khol,khol,,,529,,,khol,,Russia,Kholmsk
SSC-kiel,LT Kiel,Germany,54.5,10.27,kiel,,,,,,,kiel,,Germany,LT Kiel
SSC-kinl,Kinlochbervie,United Kingdom,58.46,-5.05,kinl,,,,1775,3250,3249,kinl,,UK,Kinlochbervie
SSC-klag,Klagshamn,Sweden,55.52,12.89,klag,,,,330,,,klag,,Sweden,Klagshamn
SSC-komi,Ko Miang,Thailand,8.55,97.63,komi,komi,,118,,,,komi,,Thailand,Ko Miang
SSC-koro,Koroni,Greece,36.8,21.96,koro,koro,,,,,,koro,,Greece,Koroni
SSC-kors,Korsakov,Russia,46.63,142.77,kors,kors,,,,,,kors,,Russia,Korsakov
SSC-kos1,Kos,Greece,36.9,27.29,"kos1, kos2",,,,,,,kos1,,Greece,Kos
SSC-kota,Ko Taphao Noi,Thailand,7.82,98.42,kota,kota,42.0,148,"2230, 446",,2807,kota,42,Thailand,Ko Taphao Noi
SSC-kril,Cape Kril'on,Russia,45.9,142.08,kril,kril,,,,,,kril,,Russia,Cape Kril'on
SSC-krna,Kirinda,Sri Lanka,6.2,81.32,krna,krna,,,,,,krna,,Sri Lanka,Kirinda
SSC-kshb,Kish Bank Lighthouse,Ireland,53.31,-5.92,kis1,,,,,,,kis1,,Ireland,Kish Bank Lighthouse
SSC-kung,Kungsholmsfort,Sweden,56.11,15.59,kung,,,,70,2075,2330,kung,,Sweden,Kungsholmsfort
SSC-kungr,Kungsvik,Sweden,59.0,11.13,kungr,,,,2113,2953,2952,kungr,,Sweden,Kungsvik
SSC-kuri,Kuril'sk,Russia,45.23,147.88,kuri,,,,,,,kuri,,Russia,Kuril'sk
SSC-kush,Kushiro,Japan,42.97,144.38,kush,kush,89.0,350,518,798,2311,kush,89,Japan,Kushiro
SSC-kusm,Kushimoto,Japan,33.48,135.77,kusm,kusm,85.0,353,134,803,2314,kusm,85,Japan,Kushimoto
SSC-kwaj,Kwajalein,Marshall Islands,8.74,167.74,"kwaj, kwaj2",kwaj,111.0,55,513,717,2301,kwaj,111,Marshall Islands,Kwajalein
SSC-kwaj,Kwajalein,Marshall Islands,8.74,167.74,"kwaj, kwaj2",kwaj,111.0,55,513,717,2301,kwaj2,111,Marshall Islands,Kwajalein
SSC-kwfl,Key West,United States,24.55,-81.81,"kwfl, kwfl2",kwfl,216.0,242,188,"1935, 2969, 2970, 718",2383,kwfl,216,USA,Key West
SSC-kwfl,Key West,United States,24.55,-81.81,"kwfl, kwfl2",kwfl,216.0,242,188,"1935, 2969, 2970, 718",2383,kwfl2,216,USA,Key West
SSC-kypa,Kyparissia,Greece,37.26,21.66,kypa,,,,,,,kypa,,Greece,Kyparissia
SSC-lagos,Lagos,Nigeria,6.42,3.41,lagos,lagx,259.0,233,"1767, 451",3550,2906,lagos,259,Nigeria,Lagos
SSC-lagos,Lagos,Nigeria,6.42,3.41,lagos,lagx,259.0,233,"1767, 451",3550,2906,lgos,,Portugal,Lagos
SSC-lgos,Lagos,Portugal,37.1,-8.67,lgos,,,723,162,720,2275,lagos,259,Nigeria,Lagos
SSC-lgos,Lagos,Portugal,37.1,-8.67,lgos,,,723,162,720,2275,lgos,,Portugal,Lagos
SSC-lajo,La Jolla,United States,32.87,-117.26,"lajo, lajo2",lajo,159.0,554,256,"3465, 843",2364,lajo,159,USA,La Jolla
SSC-lajo,La Jolla,United States,32.87,-117.26,"lajo, lajo2",lajo,159.0,554,256,"3465, 843",2364,lajo2,159,USA,La Jolla
SSC-lalb,La Libertad,El Salvador,13.49,-89.32,lalb,lalb,,,,,,lalb,,El Salvador,La Libertad
SSC-lalb,La Libertad,El Salvador,13.49,-89.32,lalb,lalb,,,,,,lali,172,Ecuador,La Libertad
SSC-lali,La Libertad,Ecuador,-2.21,-80.9,lali,lali,172.0,91,"544, 555","2082, 3510","2444, 2445",lalb,,El Salvador,La Libertad
SSC-lali,La Libertad,Ecuador,-2.21,-80.9,lali,lali,172.0,91,"544, 555","2082, 3510","2444, 2445",lali,172,Ecuador,La Libertad
SSC-lamu,Lamu,Kenya,-2.27,40.9,lamu,lamu,,149,"1872, 1985, 2198",,,lamu,,Kenya,Lamu
SSC-land,Landsort Norra,Sweden,58.74,17.87,land,,,,"2132, 68",,,land,,Sweden,Landsort Norra
SSC-lang,Langosteira,Spain,43.35,-8.53,lang,,,,,,,lang,,Spain,Langosteira
SSC-larn,Larnaca,Cyprus,34.92,33.64,larn,,,,2160,,,larn,,Cyprus,Larnaca
SSC-larp,La Rochelle-Pallice,France,46.16,-1.22,"larp, larp2",larp,,,466,934,1787,larp,,France,La Rochelle-Pallice
SSC-lasp,La Spezia,Italy,44.1,9.86,LA38,,,,2139,3436,3435,LA38,,Italy,La Spezia
SSC-laun,La Union,El Salvador,13.31,-87.82,laun,laun,,86,"2223, 558, 740",,,laun,,El Salvador,La Union
SSC-lcst,Le Castella,Italy,38.91,17.03,lcst,,,,,,,lcst,,Italy,Le Castella
SSC-lebu,Lebu,Chile,-37.59,-73.66,"lebu, lebu2",lebu,,,1956,,,lebu,,Chile,Lebu
SSC-lebu,Lebu,Chile,-37.59,-73.66,"lebu, lebu2",lebu,,,1956,,,lebu2,,Chile,Lebu
SSC-leco,Le Conquet,France,48.36,-4.78,"leco, leco2",leco,,,1294,3179,1792,leco,,France,Le Conquet
SSC-lecy,Le Crouesty,France,47.54,-2.9,lecy,,,,1921,3190,1793,lecy,,France,Le Crouesty
SSC-leha,Le Havre,France,49.48,0.11,"leha, leha2",leha,,,453,"3429, 3538",1794,leha,,France,Le Havre
SSC-leit,Leith,United Kingdom,55.99,-3.18,leit,,,,"1526, 802",3248,"3246, 3247",leit,,UK,Leith
SSC-lemba,Lembar,Indonesia,-8.73,116.07,lemba,"lemb, lobk",,419,,,,lemba,,Indonesia,Lembar
SSC-lena,"Lenakel, Tanna",Vanuatu,-19.53,169.27,lena,lena,,,,,,lena,,Vanuatu,"Lenakel, Tanna"
SSC-lero,Le Robert,France,14.68,-60.94,lero,lero,,"270, 271",,,,lero,,Martinique,Le Robert
SSC-leso,Les Sables d'Olonne,France,46.5,-1.79,"leso, leso2",leso,,,1747,2012,1791,leso,,France,Les Sables d'Olonne
SSC-levu,Lautoka,Fiji,-17.6,177.44,levu,"laut, levu",,402,1805,723,2165,levu,,Fiji Islands,Lautoka
SSC-lifo,Lifou,France,-20.92,167.28,lifo,lifo,,,,3203,3167,lifo,,France,Lifou
SSC-lime,Limetree,United States,17.7,-64.75,"lime, lime2",lime,,254,,,,lime,,USA,Limetree
SSC-lime,Limetree,United States,17.7,-64.75,"lime, lime2",lime,,254,,,,lime2,,USA,Limetree
SSC-limn,Limon,Costa Rica,9.99,-83.02,limon,limn,,268,"2191, 552",,,limon,,Costa Rica,Limon
SSC-lirf,Lihou Reef,Australia,-17.13,152.15,lirf,,,,,,,lirf,,Australia,Lihou Reef
SSC-lirn,Livorno,Italy,43.55,10.3,LI11,,,,"110, 2080",,,LI11,,Italy,Livorno
SSC-litz,"Litzlitz, Malekula",Vanuatu,-16.11,167.44,litz,litz,,,,,,litz,,Vanuatu,"Litzlitz, Malekula"
SSC-livp,Liverpool,United Kingdom,53.45,-3.02,live,"livp, tpol",,,"15, 1774, 765",2026,"2160, 2736, 2756",live,,UK,Liverpool
SSC-ljus,Ljusne Orrskarskajen,Sweden,61.21,17.15,ljus,,,,,,,ljus,,Sweden,Ljusne Orrskarskajen
SSC-llan,Llandudno,United Kingdom,53.33,-3.83,llan,,,,"1504, 1854",,,llan,,UK,Llandudno
SSC-lmpd,Lampedusa,Italy,35.5,12.6,LA23,lamp,,,2079,722,2226,LA23,,Italy,Lampedusa
SSC-lore,Loreto,Mexico,26.02,-111.37,lton,lton,,319,1410,,,lton,,Mexico,Loreto
SSC-losa,Los Angeles,United States,33.72,-118.27,"losa, losa2",losa,,567,"1045, 245","3280, 3513, 897",2374,losa,,USA,Los Angeles
SSC-losa,Los Angeles,United States,33.72,-118.27,"losa, losa2",losa,,567,"1045, 245","3280, 3513, 897",2374,losa2,,USA,Los Angeles
SSC-losu,Los Sueños,Costa Rica,9.65,-84.66,losu,losu,,,,,,losu,,Costa Rica,Los Sueños
SSC-lott,East Cape,New Zealand,-37.55,178.16,lott,lott,,,,,,lott,,New Zealand,East Cape
SSC-lowe,Lowestoft,United Kingdom,52.47,1.75,lowe,,,,754,2027,2343,lowe,,UK,Lowestoft
SSC-lpaz,La Paz,Mexico,24.15,-110.3,"lpaz, lpaz2",lpaz,,671,695,"2053, 3060",2291,lpaz,,Mexico,La Paz
SSC-luba,Lubang,Philippines,13.82,120.2,luba,luba,,655,,,,luba,,Philippines,Lubang
SSC-luga,Luganville,Vanuatu,-15.52,167.19,luga,luga,,,,,,luga,,Vanuatu,Luganville
SSC-lund,Lunde,Sweden,62.88,17.88,lund,,,,,,,lund,,Sweden,Lunde
SSC-lymg,Lymington,United Kingdom,50.74,-1.51,lymg,,,,,,,lymg,,UK,Lymington
SSC-madry,Puerto Madryn,Argentina,-42.76,-65.03,madry,madr,191.0,731,501,924,2339,madry,191,Argentina,Puerto Madryn
SSC-maer,Marmara Ereglisi,Turkey,40.97,27.97,maer,,,,2010,2028,2175,maer,,Turkey,Marmara Ereglisi
SSC-magi,Magueyes Island,United States,17.98,-67.05,"magi, magi2",magi,,246,759,1893,2381,magi,,USA,Magueyes Island
SSC-magi,Magueyes Island,United States,17.98,-67.05,"magi, magi2",magi,,246,759,1893,2381,magi2,,USA,Magueyes Island
SSC-maho,Mahon,Spain,39.89,4.27,"lmma, maho",,,,2062,,,maho,,Spain,Mahon
SSC-mais,Marion Island,South Africa,-46.87,37.87,"mais, mais2",mais,20.0,920,,2016,1980,mais,20,South-Africa,Marion Island
