SSC ID,Station Name,Country_x,Latitude,Longitude,IOC code,PTWC code,GLOSS ID_x,UHSLC ID,PSMSL ID,SONEL GPS,SONEL TG,Code,GLOSS ID_y,Country_y,Location
SSC-arca,Arcachon Eyrac,France,44.67,-1.16,"arca, arca2",,,,1918,3191,1724,arca,,France,Arcachon Eyrac
SSC-aren,Arena Cove,United States,38.91,-123.71,"aren, aren2",aren,,573,2125,3026,3025,aren,,USA,Arena Cove
SSC-aren,Arena Cove,United States,38.91,-123.71,"aren, aren2",aren,,573,2125,3026,3025,aren2,,USA,Arena Cove
SSC-aric,Arica,Chile,-18.48,-70.32,"aric, aric2",aric,,83,"1554, 618","2610, 3159",2609,aric,,Chile,Arica
SSC-aric,Arica,Chile,-18.48,-70.32,"aric, aric2",aric,,83,"1554, 618","2610, 3159",2609,aric2,,Chile,Arica
SSC-arko,Arko,Sweden,58.48,16.96,arko,,,,,,,arko,,Sweden,Arko
SSC-aron,"Arona, Tenerife",Spain,28.05,-16.72,tn031,ten2,,,,,,tn031,,Spain,"Arona, Tenerife"
SSC-arrc,Arraial do Cabo,Brazil,-22.97,-42.01,arrc,,,,,,,arrc,,Brasil,Arraial do Cabo
SSC-arre,Arrecife,Spain,28.97,-13.53,arre,,,205,"1362, 1710, 2066, 593, 943",3133,3132,arre,,Spain,Arrecife
SSC-arri,Arrifana,Portugal,37.3,-8.87,arri,,,,,,,arri,,Portugal,Arrifana
SSC-ascen,Ascension,United Kingdom,-7.92,-14.42,ascen,ascn,263.0,291,1831,630,1971,ascen,263,UK,Ascension
SSC-ashd,Ashdod Port,Israel,31.83,34.64,"ashd, ashd1",,,,"2219, 855",2021,"2180, 3502",ashd,,Israel,Ashdod Port
SSC-ashk,Ashkhara,Oman,21.85,59.57,ashk,ashk,,,,,,ashk,,Oman,Ashkhara
SSC-askl,Ashkelon,Israel,31.63,34.49,askl,,,,2220,,,askl,,Israel,Ashkelon
SSC-asto,Astoria,United States,46.21,-123.77,"asto, asto2",asto,,572,265,"2093, 2690, 2691, 675",2176,asto,,USA,Astoria
SSC-asto,Astoria,United States,46.21,-123.77,"asto, asto2",asto,,572,265,"2093, 2690, 2691, 675",2176,asto2,,USA,Astoria
SSC-atic,Atico,Peru,-16.23,-73.69,atic,atic,,,,,,atic,,Perú,Atico
SSC-audi,Audierne,France,48.02,-4.54,"audi, audi2",,,,,,,audi,,France,Audierne
SSC-avon,Avonmouth Portbury,United Kingdom,51.5,-2.73,avon,,,,"2011, 257",,,avon,,UK,Avonmouth Portbury
SSC-bamd,Baltimore,United States,39.27,-76.58,"bamd, bamd2",bamd,,,148,"2704, 3059",2703,bamd,,USA,Baltimore
SSC-bamd,Baltimore,United States,39.27,-76.58,"bamd, bamd2",bamd,,,148,"2704, 3059",2703,bamd2,,USA,Baltimore
SSC-bame,Bar Harbor,United States,44.39,-68.21,"bame, bame2",bame,,,525,635,2353,bame,,USA,Bar Harbor
SSC-bame,Bar Harbor,United States,44.39,-68.21,"bame, bame2",bame,,,525,635,2353,bame2,,USA,Bar Harbor
SSC-bamf,Bamfield,Canada,48.84,-125.14,bamf,,,541,1242,3023,3022,bamf,,Canada,Bamfield
SSC-bang,Bangor,United Kingdom,54.66,-5.67,bang,,,,1856,,,bang,,UK,Bangor
SSC-bapj,Battery Point,Australia,-42.89,147.34,bapj,,,,,,,bapj,,Australia,Battery Point
SSC-bara,Barahona,Dominican Republic,18.21,-71.09,bara,bara,,,745,3554,3553,bara,,Dominican Republic,Barahona
SSC-barb,Barbuda,Antigua and Barbuda,17.59,-61.82,"barb, barb2",barb,,,,,,barb,,Antigua,Barbuda
SSC-barb,Barbuda,Antigua and Barbuda,17.59,-61.82,"barb, barb2",barb,,,,,,barb2,,Antigua,Barbuda
SSC-barc,Barcelona,Spain,41.34,2.16,barc,,,,1811,3533,3532,barc,,Spain,Barcelona
SSC-barii,Bari,Italy,41.14,16.87,BA05,,,,2075,,,BA05,,Italy,Bari
SSC-barm,Barmouth,United Kingdom,52.72,-4.05,barm,,,,1771,,,barm,,UK,Barmouth
SSC-bars,Barseback,Sweden,55.76,12.9,bars,,,,2109,2077,2327,bars,,Sweden,Barseback
SSC-bass,Basseterre (Coast Guard Base),Saint Kitts and Nevis,17.29,-62.71,bass,bass,,,2004,,,bass,,St. Kitts & Nevis,Basseterre (Coast Guard Base)
SSC-batr,Batroun,Lebanon,34.25,35.66,batr,,,,,,,batr,,Lebanon,Batroun
SSC-bbbc,Bella Bella,Canada,52.16,-128.14,bbbc,bbbc,,,,,,bbbc,,Canada,Bella Bella
SSC-bell,Bella Bella,Canada,52.17,-128.13,,,,,984,3209,3208,bbbc,,Canada,Bella Bella
SSC-bdto,Bocas Del Toro,Panama,9.35,-82.26,bdto,bdto,,,,,,bdto,,Panamá,Bocas Del Toro
SSC-beau,Beaufort,United States,32.43,-80.67,,,,,1537,,,benc,,USA,Beaufort
SSC-beau,Beaufort,United States,32.43,-80.67,,,,,1537,,,benc2,,USA,Beaufort
SSC-benc,Beaufort,United States,34.72,-76.67,"benc, benc2",benc,,,719,,,benc,,USA,Beaufort
SSC-benc,Beaufort,United States,34.72,-76.67,"benc, benc2",benc,,,719,,,benc2,,USA,Beaufort
SSC-beno,Benoa,Indonesia,-8.77,115.22,beno,beno,49.0,163,"1738, 2200","2945, 3404","2812, 3585",beno,49,Indonesia,Benoa
SSC-bgct,Bridgeport,United States,41.17,-73.18,"bgct, bgct2",bgct,,,1068,,,bgct,,USA,Bridgeport
SSC-bgct,Bridgeport,United States,41.17,-73.18,"bgct, bgct2",bgct,,,1068,,,bgct2,,USA,Bridgeport
SSC-bitu,Bitung,Indonesia,1.44,125.19,bitu,bitg,69.0,33,"1709, 308","3215, 3405",2822,bitu,69,Indonesia,Bitung
SSC-blueb,Blue Bay,Mauritius,-20.44,57.71,blueb,blue,,,930,,,blueb,,Mauritius,Blue Bay
